timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600074184440,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-255,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181705,2746,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-259,text,false,,3810,123,1000,1000,https://www.firstbench.app/,784,0,382
1600074181705,784,Landing page-0,301,Moved Permanently,JMeter Users 1-259,text,true,,428,123,1000,1000,http://www.firstbench.app/,784,0,382
1600074182490,1961,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-259,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1961
1600074184452,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-259,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181701,2752,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-270,text,false,,3810,123,1000,1000,https://www.firstbench.app/,768,0,391
1600074181701,768,Landing page-0,301,Moved Permanently,JMeter Users 1-270,text,true,,428,123,1000,1000,http://www.firstbench.app/,768,0,391
1600074182470,1983,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-270,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1983
1600074184453,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-270,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181558,2896,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-120,text,false,,3810,123,1000,1000,https://www.firstbench.app/,798,0,480
1600074181558,798,Landing page-0,301,Moved Permanently,JMeter Users 1-120,text,true,,428,123,1000,1000,http://www.firstbench.app/,798,0,480
1600074182356,2098,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-120,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2098
1600074184454,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-120,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181561,2895,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-47,text,false,,3810,123,1000,1000,https://www.firstbench.app/,931,0,554
1600074181561,931,Landing page-0,301,Moved Permanently,JMeter Users 1-47,text,true,,428,123,1000,1000,http://www.firstbench.app/,931,0,554
1600074182492,1964,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-47,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1964
1600074184456,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-47,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181559,2898,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-108,text,false,,3810,123,1000,1000,https://www.firstbench.app/,798,0,476
1600074181559,798,Landing page-0,301,Moved Permanently,JMeter Users 1-108,text,true,,428,123,1000,1000,http://www.firstbench.app/,798,0,476
1600074182357,2100,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-108,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,2100
1600074184458,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-108,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181648,2810,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-232,text,false,,3810,123,1000,1000,https://www.firstbench.app/,836,0,451
1600074181648,836,Landing page-0,301,Moved Permanently,JMeter Users 1-232,text,true,,428,123,1000,1000,http://www.firstbench.app/,836,0,451
1600074182485,1973,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-232,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1973
1600074184459,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-232,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181643,2821,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-226,text,false,,3810,123,1000,1000,https://www.firstbench.app/,834,0,448
1600074181643,834,Landing page-0,301,Moved Permanently,JMeter Users 1-226,text,true,,428,123,1000,1000,http://www.firstbench.app/,834,0,448
1600074182481,1983,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-226,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1983
